Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-05-24,1951.03,1966.8,1909.93,1921.55,30619382
2022-05-25,1938.86,1951.36,1894.28,1923.46,26237563
2022-05-26,1897.03,1898.84,1867.06,1919.09,24602616
2022-05-27,1903.66,1916.25,1872.1,1922.42,25554833
2022-05-28,1898.54,1915.32,1850.37,1924.12,33612931
2022-05-29,1854.26,1854.26,1816.5,1928.05,15501498
2022-05-30,1834.06,1836.87,1808.2,1931.56,28732037
2022-05-31,1832.6,1849.71,1765.85,1929.85,31284131
2022-06-01,1763.62,1765.14,1717.48,1937.14,25818498
2022-06-02,1757.77,1759.99,1724.48,1936.34,16714297
2022-06-03,1735.81,1748.73,1703.9,1942.24,30847998
2022-06-04,1728.7,1744.76,1710.15,1938.07,29858726
2022-06-05,1692.71,1713.59,1652.3,1934.62,35732334
2022-06-06,1709.53,1774.92,1709.53,1928.63,27382859
2022-06-07,1761.15,1796.3,1746.66,1932.22,24959057
2022-06-08,1777.41,1818.05,1769.03,1935.55,33003315
2022-06-09,1807.17,1827.63,1801.68,1926.68,30956310
2022-06-10,1780.36,1789.69,1753.51,1921.4,30977818
2022-06-11,1787.07,1806.82,1782.66,1926.66,28108711
2022-06-12,1798.11,1836.98,1798.11,1934.87,33305212
